X             Y             Z             A             B             C             Azimuth       Dip           M             K             Population    Number        Rugosity      Length        Height        Area          Set
61435.5575    9576.9571     919.7558      -0.8169       0.3968        0.4186        295.91        65.25         5.5320        0.4725         63572         964          0.0404        4.0505        1.6383        5.6880        Set3
61434.9250    9570.9190     924.4469      0.7646        -0.4557       0.4557        120.80        62.89         4.8333        0.9512         16614         984          0.0218        0.9401        1.1432        0.7776        Set3
61435.2030    9572.1624     925.1771      -0.7747       0.6173        0.1374        308.55        82.10         4.6760        0.3965         21834         985          0.0378        1.1961        1.9982        2.2464        Set3
61434.7792    9572.7067     920.7289      -0.6595       0.1912        0.7270        286.17        43.37         4.4524        1.4538         423           987          0.0106        0.3899        0.2123        0.1584        Set3
61434.9634    9570.8753     925.5689      -0.9401       0.2255        0.2557        283.49        75.19         4.0040        8.1489         331           1005         0.0207        0.2601        0.5669        0.1728        Set3
61434.8856    9571.1182     925.2855      -0.8963       0.2600        0.3593        286.18        68.94         4.9054        0.3167         563           1006         0.0064        0.3069        0.3770        0.1584        Set3
61434.9689    9570.1578     925.3450      0.8843        -0.3812       0.2697        113.32        74.35         2.9346        1.4193         729           1027         0.0146        0.5651        0.2368        0.2016        Set3
61435.1066    9571.3151     924.2613      0.8696        -0.3149       0.3803        109.90        67.65         2.8868        0.5993         3350          1033         0.0312        0.6967        0.3516        0.3312        Set3
61435.0866    9548.8162     916.9349      -0.5651       0.7631        0.3135        323.48        71.73         4.8567        0.6317         1401          1053         0.0105        0.3109        0.6661        0.2304        Set3
61435.3321    9550.4200     917.3854      -0.9510       0.3087        0.0178        287.98        88.98         3.3198        0.4265         12466         1061         0.0517        1.3367        0.9525        1.1376        Set3
61435.2987    9550.7873     919.2457      -0.9793       0.1483        0.1382        278.61        82.06         3.9703        1.3169         31250         1064         0.0697        1.7453        2.0745        2.1600        Set3
61435.0983    9570.3594     923.3983      0.8432        -0.5247       0.1169        121.89        83.29         4.0090        2.6186         1801          1077         0.0191        0.2757        0.5880        0.1728        Set3
61435.1893    9570.7014     922.4548      0.9407        -0.2974       0.1631        107.55        80.62         3.6466        0.4772         2712          1083         0.0147        0.3772        0.7503        0.3600        Set3
61435.2743    9573.1074     921.5201      0.8291        -0.2985       0.4727        109.80        61.79         4.1263        0.2980         2540          1108         0.0175        0.4818        0.7029        0.4752        Set3
61435.2606    9548.9142     918.2176      -0.9967       -0.0442       0.0675        267.46        86.13         4.3516        1.9103         3768          1131         0.0345        0.6777        1.4477        0.8208        Set3
